과정ID,회차,기관ID,과정명,훈련시작일,훈련종료일,모집정원,수강신청인원,실제수강인원,수료인원,총훈련비,취업률_3개월,취업인원_3개월,취업률_6개월,취업인원_6개월,미가입_취업률_6개월,미가입_취업인원_6개월,연도,만족도,주소,NCS여부,총훈련일수,총훈련시간,수료율,수강신청률,일 평균 훈련시간,취업당 훈련비,수도권여부,취업률
AIG20200000286658,3,1999098928801,인공지능 기반 디지털 전환 구현과정,2022-02-22,2022-08-26,18,21,13.0,10,17134440.0,44.4,4.0,66.7,6.0,0.0,0,2022,814,서울특별시 영등포구 양산로 53 (양평동3가 월드메르디앙비즈센터),1,126,997,76.92,116.67,7.91,2855740.0,1,60.0
AIG20200000286658,4,1999098928801,인공지능 기반 디지털 전환 구현과정,2022-05-04,2022-11-08,18,11,8.0,7,17134440.0,33.3,2.0,66.7,4.0,0.0,0,2022,814,서울특별시 영등포구 양산로 53 (양평동3가 월드메르디앙비즈센터),1,126,997,87.5,61.11,7.91,4283610.0,1,57.14
AIG20200000286658,5,1999098928801,인공지능 기반 디지털 전환 구현과정,2022-07-15,2023-01-13,18,12,10.0,9,17134440.0,50.0,4.0,50.0,4.0,0.0,0,2022,814,서울특별시 영등포구 양산로 53 (양평동3가 월드메르디앙비즈센터),1,126,997,90.0,66.67,7.91,4283610.0,1,44.44
AIG20220000366768,1,202000448,S/W개발 및 빅데이터응용 지역핵심인재 양성과정,2022-08-22,2023-02-15,18,9,8.0,7,7997640.0,33.3,2.0,50.0,3.0,0.0,0,2022,889,충청북도 청주시 상당구 사직대로361번길 158-10 (북문로3가),0,120,840,87.5,50.0,7.0,2665880.0,0,42.86
AIG20200000286658,6,1999098928801,인공지능 기반 디지털 전환 구현과정,2022-12-29,2023-07-03,18,6,5.0,4,17134440.0,66.7,2.0,66.7,2.0,0.0,0,2022,814,서울특별시 영등포구 양산로 53 (양평동3가 월드메르디앙비즈센터),1,126,997,80.0,33.33,7.91,8567220.0,1,50.0
AIG20210000328914,1,201706116,AI 사물인터넷 시각센서 데이터 소프트웨어 개발자,2022-01-04,2022-06-16,20,17,16.0,12,7536320.0,90.9,10.0,100.0,11.0,0.0,0,2022,717,세종특별자치시  세종로 2511,0,110,880,75.0,85.0,8.0,685120.0,0,91.67
AIG20210000328913,1,201706116,G-클라우드 기반 풀스택 개발자,2022-01-04,2022-06-15,20,15,15.0,10,7536320.0,66.7,6.0,66.7,6.0,0.0,0,2022,700,세종특별자치시  세종로 2511,0,110,880,66.67,75.0,8.0,1256053.33,0,60.0
AIG20210000314413,4,1998470867400,클라우드컴퓨팅과 보안솔루션을 활용한 DC 엔지니어 양성,2022-01-10,2022-06-28,20,19,14.0,14,7795970.0,76.9,10.0,84.6,11.0,7.7,1,2022,891,서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망),0,114,910,100.0,95.0,7.98,649664.17,1,85.71
AIG20200000313528,24,1298212249000,부스트캠프 AI Tech,2022-01-17,2022-06-15,20,19,18.0,17,10890000.0,18.8,3.0,25.0,4.0,0.0,0,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,94.44,95.0,8.0,2722500.0,1,23.53
AIG20200000313528,30,1298212249000,부스트캠프 AI Tech,2022-01-17,2022-06-15,20,22,20.0,20,10890000.0,36.8,7.0,42.1,8.0,0.0,0,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,100.0,110.0,8.0,1361250.0,1,40.0
AIG20200000313528,26,1298212249000,부스트캠프 AI Tech,2022-01-17,2022-06-15,20,20,19.0,19,10890000.0,26.3,5.0,31.6,6.0,0.0,0,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,100.0,100.0,8.0,1815000.0,1,31.58
AIG20200000313528,23,1298212249000,부스트캠프 AI Tech,2022-01-17,2022-06-15,20,22,20.0,19,10890000.0,21.1,4.0,26.3,5.0,0.0,0,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,95.0,110.0,8.0,2178000.0,1,26.32
AIG20200000313528,27,1298212249000,부스트캠프 AI Tech,2022-01-17,2022-06-15,20,21,20.0,20,10890000.0,44.4,8.0,44.4,8.0,0.0,0,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,100.0,105.0,8.0,1361250.0,1,40.0
AIG20200000286683,2,1408179916000,빅데이터 비즈니스를 위한 데이터 애널리스트 양성과정,2022-01-19,2022-06-24,20,19,19.0,14,11765600.0,28.6,4.0,57.1,8.0,0.0,0,2022,865,서울특별시 금천구 가산디지털1로 168 (가산동 우림라이온스밸리),0,103,800,73.68,95.0,7.77,1470700.0,1,57.14
AIG20210000328555,2,9915000040500,"블록체인기반 자바(JAVA) 프로그래밍 개발자(리액트,핀테크)",2022-02-07,2022-08-19,20,24,19.0,14,8820920.0,54.5,6.0,72.7,8.0,0.0,0,2022,748,서울특별시 마포구 노고산동 신촌로 128,0,129,1030,73.68,120.0,7.98,1102615.0,1,57.14
AIG20210000328964,1,201803013,빅데이터 분석을 활용한 자바 개발자 양성과정,2022-02-14,2022-07-14,20,17,14.0,12,7193760.0,66.7,6.0,77.8,7.0,0.0,0,2022,967,강원도 강릉시 경강로 2106 (임당동 경일플라자),0,106,840,85.71,85.0,7.92,1027680.0,0,58.33
AIG20210000328771,1,1998133640100,현장맞춤 AI활용 자바/스프링부트 웹서비스 개발,2022-02-14,2022-09-29,20,23,14.0,9,9330580.0,55.6,5.0,55.6,5.0,0.0,0,2022,740,대구광역시 동구 동대구로 566 (신암동),0,142,980,64.29,115.0,6.9,1866116.0,0,55.56
AIG20210000328737,2,2149093598000,[정보보안] 모의해킹/침해대응 전문가 취업캠프,2022-02-21,2022-09-05,20,25,18.0,16,8992200.0,80.0,12.0,93.3,14.0,0.0,0,2022,899,서울특별시 강남구 강남대로78길 8 (역삼동),0,132,1050,88.89,125.0,7.95,642300.0,1,87.5
AIG20210000328968,1,2007001844200,유니티(Unity)기반 실감형콘텐츠(메타버스/VR/AR) 개발자 취업캠프,2022-02-22,2022-09-01,20,18,15.0,14,7755720.0,33.3,4.0,41.7,5.0,0.0,0,2022,594,부산광역시 부산진구 신천대로50번길 79 (부전동),0,127,980,93.33,90.0,7.72,1551144.0,0,35.71
AIG20210000314425,3,2006075723800,오픈소스기반의 지능형 IoT 융합SW개발,2022-02-28,2022-09-05,20,21,13.0,11,8564000.0,45.5,5.0,54.5,6.0,0.0,0,2022,929,광주광역시 서구 경열로 3 (농성동),0,125,1000,84.62,105.0,8.0,1427333.33,0,54.55
AIG20200000286647,4,201801942,프로젝트 기반 AI빅데이터 융합인재 양성 과정,2022-02-28,2022-08-25,20,25,20.0,13,15408000.0,15.4,2.0,46.2,6.0,0.0,0,2022,719,부산광역시 금정구 부산대학로63번길 2,0,120,960,65.0,125.0,8.0,2568000.0,0,46.15
AIG20210000314417,2,1998326771600,라이다 및 영상인식기반 모빌리티 자율주행 솔루션 실무과정,2022-03-02,2022-09-20,20,18,16.0,12,9077840.0,63.6,7.0,63.6,7.0,0.0,0,2022,915,인천광역시 서구 서곶로 284 (심곡동 새터빌딩),0,133,1060,75.0,90.0,7.97,1296834.29,1,58.33
AIG20210000314421,2,4088524106000,"VR,AR 게임개발 및 에셋디자이너 양성과정",2022-03-10,2022-09-16,20,23,15.0,8,7536320.0,12.5,1.0,37.5,3.0,0.0,0,2022,886,광주광역시 광산구 첨단중앙로 96,0,126,880,53.33,115.0,6.98,2512106.67,0,37.5
AIG20210000328555,3,9915000040500,"블록체인기반 자바(JAVA) 프로그래밍 개발자(리액트,핀테크)",2022-03-14,2022-09-26,20,17,14.0,9,8820920.0,37.5,3.0,50.0,4.0,0.0,0,2022,748,서울특별시 마포구 노고산동 신촌로 128,0,129,1030,64.29,85.0,7.98,2205230.0,1,44.44
AIG20210000314430,2,1998011240100,스마트 공장 환경구축 및 관리 전문가 양성과정,2022-03-21,2022-10-07,20,16,14.0,7,12609100.0,28.6,2.0,71.4,5.0,0.0,0,2022,852,대구광역시 동구 동부로 121,1,133,923,50.0,80.0,6.94,2521820.0,0,71.43
AIG20210000328737,3,2149093598000,[정보보안] 모의해킹/침해대응 전문가 취업캠프,2022-03-28,2022-10-14,20,23,16.0,16,8992200.0,86.7,13.0,100.0,15.0,0.0,0,2022,899,서울특별시 강남구 강남대로78길 8 (역삼동),0,132,1050,100.0,115.0,7.95,599480.0,1,93.75
AIG20200000286602,10,1309220578000,빅데이터 플랫폼 구축(하둡)과 빅데이터분석(by Spark&Power Bi)&자바(JAVA)웹개발,2022-03-28,2022-09-22,20,21,20.0,15,9302010.0,73.3,11.0,80.0,12.0,13.3,2,2022,852,서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩),0,123,977,75.0,105.0,7.94,664429.29,1,93.33
AIG20210000314425,4,2006075723800,오픈소스기반의 지능형 IoT 융합SW개발,2022-04-25,2022-11-03,20,13,12.0,11,8564000.0,45.5,5.0,63.6,7.0,0.0,0,2022,929,광주광역시 서구 경열로 3 (농성동),0,126,1000,91.67,65.0,7.94,1223428.57,0,63.64
AIG20210000328828,2,2149093598000,자바(JAVA) 웹개발(백앤드)&앱개발자(클라우드활용) 취업캠프,2022-05-02,2022-11-30,20,37,17.0,12,9249120.0,25.0,3.0,33.3,4.0,8.3,1,2022,855,서울특별시 강남구 강남대로78길 8 (역삼동),0,135,1080,70.59,185.0,8.0,1849824.0,1,41.67
AIG20210000313623,3,9915000040500,"AI기반 빅데이터분석(자바,파이썬) 및 RPA 자동화솔루션 개발자",2022-05-10,2022-11-11,20,12,8.0,6,8564000.0,66.7,4.0,66.7,4.0,0.0,0,2022,854,서울특별시 마포구 노고산동 신촌로 128,0,125,1000,75.0,60.0,8.0,2141000.0,1,66.67
AIG20200000286647,5,201801942,프로젝트 기반 AI빅데이터 융합인재 양성 과정,2022-05-16,2022-11-14,20,25,20.0,17,15408000.0,0.0,0.0,26.7,4.0,0.0,0,2022,719,부산광역시 금정구 부산대학로63번길 2,0,120,960,85.0,125.0,8.0,3852000.0,0,23.53
AIG20220000366915,1,1995026334500,Digital Transformation 제조혁신 양성과정,2022-05-19,2022-11-03,20,20,20.0,15,15972000.0,60.0,9.0,73.3,11.0,0.0,0,2022,819,경상남도 거제시 장평3로 80,0,110,880,75.0,100.0,8.0,1452000.0,0,73.33
AIG20210000328737,4,2149093598000,[정보보안] 모의해킹/침해대응 전문가 취업캠프,2022-05-24,2022-12-08,20,16,13.0,12,8992200.0,55.6,5.0,66.7,6.0,0.0,0,2022,899,서울특별시 강남구 강남대로78길 8 (역삼동),0,132,1050,92.31,80.0,7.95,1498700.0,1,50.0
AIG20220000366817,1,2005053449301,실무 프로젝트 기반 빅데이터 서비스 솔루션 개발자 양성과정,2022-05-30,2022-12-21,20,21,20.0,20,9591680.0,33.3,6.0,77.8,14.0,0.0,0,2022,989,서울특별시 마포구 월드컵북로 21 (서교동),0,140,1120,100.0,105.0,8.0,685120.0,1,70.0
AIG20200000286602,11,1309220578000,빅데이터 플랫폼 구축(하둡)과 빅데이터분석(by Spark&Power Bi)&자바(JAVA)웹개발,2022-05-30,2022-11-29,20,26,12.0,10,9302010.0,50.0,5.0,60.0,6.0,10.0,1,2022,852,서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩),0,123,977,83.33,130.0,7.94,1328858.57,1,70.0
AIG20210000328968,2,2007001844200,유니티(Unity)기반 실감형콘텐츠(메타버스/VR/AR) 개발자 취업캠프,2022-06-02,2022-12-16,20,22,18.0,14,7755720.0,33.3,4.0,50.0,6.0,0.0,0,2022,594,부산광역시 부산진구 신천대로50번길 79 (부전동),0,125,980,77.78,110.0,7.84,1292620.0,0,42.86
AIG20210000328827,2,2149093598000,"빅데이터 기반 AI(인공지능)서비스(추천,트레이딩) 개발자 취업캠프",2022-06-20,2023-01-13,20,19,12.0,11,9249120.0,63.6,7.0,90.9,10.0,9.1,1,2022,929,서울특별시 강남구 강남대로78길 8 (역삼동),0,142,1080,91.67,95.0,7.61,840829.09,1,100.0
AIG20210000314421,3,4088524106000,"VR,AR 게임개발 및 에셋디자이너 양성과정",2022-06-20,2022-12-28,20,18,12.0,11,7536320.0,36.4,4.0,63.6,7.0,0.0,0,2022,886,광주광역시 광산구 첨단중앙로 96,0,127,880,91.67,90.0,6.93,1076617.14,0,63.64
AIG20220000366817,2,2005053449301,실무 프로젝트 기반 빅데이터 서비스 솔루션 개발자 양성과정,2022-06-27,2023-01-18,20,23,20.0,19,9591680.0,10.5,2.0,73.7,14.0,5.3,1,2022,989,서울특별시 마포구 월드컵북로 21 (서교동),0,140,1120,95.0,115.0,8.0,639445.33,1,78.95
AIG20220000366724,1,2006075723800,[PBL]스마트 웹&앱 콘텐츠 전문개발자 양성,2022-06-27,2022-12-09,20,14,13.0,13,7536320.0,53.8,7.0,76.9,10.0,7.7,1,2022,945,광주광역시 서구 경열로 3 (농성동),0,111,880,100.0,70.0,7.93,685120.0,0,84.62
AIG20210000328766,1,2004031623800,디지털 헬스케어 빅데이터 분석 및 활용 전문가,2022-06-27,2022-10-14,20,17,16.0,8,6598050.0,14.3,1.0,57.1,4.0,0.0,0,2022,917,전북특별자치도 익산시 신동 익산대로 460(원광대학교),0,87,693,50.0,85.0,7.97,1649512.5,0,50.0
AIG20210000328737,5,2149093598000,[정보보안] 모의해킹/침해대응 전문가 취업캠프,2022-06-28,2023-01-09,20,19,16.0,15,8992200.0,85.7,12.0,85.7,12.0,14.3,2,2022,899,서울특별시 강남구 강남대로78길 8 (역삼동),0,132,1050,93.75,95.0,7.95,642300.0,1,93.33
AIG20220000366817,3,2005053449301,실무 프로젝트 기반 빅데이터 서비스 솔루션 개발자 양성과정,2022-07-06,2023-01-27,20,25,20.0,20,9591680.0,60.0,12.0,75.0,15.0,15.0,3,2022,989,서울특별시 마포구 월드컵북로 21 (서교동),0,140,1120,100.0,125.0,8.0,532871.11,1,90.0
AIG20210000328968,3,2007001844200,유니티(Unity)기반 실감형콘텐츠(메타버스/VR/AR) 개발자 취업캠프,2022-07-12,2023-01-31,20,18,13.0,9,7755720.0,22.2,2.0,22.2,2.0,0.0,0,2022,594,부산광역시 부산진구 신천대로50번길 79 (부전동),0,123,980,69.23,90.0,7.97,3877860.0,0,22.22
AIG20220000366677,1,4189044549000,"빅데이터 기반 지능형 서비스 개발자 양성 과정(자바,파이썬기반)",2022-07-18,2022-12-28,20,24,18.0,14,7707600.0,45.5,5.0,54.5,6.0,0.0,0,2022,920,전북 전주시 덕진구 금암동,0,116,900,77.78,120.0,7.76,1284600.0,0,42.86
AIG20210000314435,2,201802278,스마트팩토리 소프트웨어,2022-07-18,2022-12-23,20,16,13.0,10,14970560.0,66.7,6.0,100.0,9.0,0.0,0,2022,777,경기도 화성시 와우안길 17,0,110,880,76.92,80.0,8.0,1663395.56,1,90.0
AIG20210000314414,2,1998133640100,인공지능 활용 웹서비스 개발(PBL-스마트웰니스 특구기업맞춤),2022-07-25,2023-03-29,20,12,8.0,2,12186880.0,0.0,0.0,0.0,0.0,0.0,0,2022,898,대구광역시 동구 동대구로 566 (신암동),0,166,1280,25.0,60.0,7.71,0.0,0,0.0
AIG20220000366697,1,2001003206000,자바(Java)기반 컨테이너 애플리케이션 가상화를 통한 Cloud Office 구축 프로젝트 과정,2022-08-08,2023-02-10,20,20,19.0,17,8564000.0,43.8,7.0,81.3,13.0,0.0,0,2022,892,서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리),0,125,1000,89.47,100.0,8.0,658769.23,1,76.47
AIG20220000366725,1,1998498932812,"프로젝트기반 풀스택(프론트,백엔드) 개발자(자바,스프링,리액트) 양성",2022-08-18,2023-03-17,20,34,20.0,20,9942800.0,42.1,8.0,57.9,11.0,10.5,2,2022,872,경기도 성남시 분당구 구미동 돌마로 46,0,145,1161,100.0,170.0,8.01,764830.77,1,65.0
AIG20220000366724,2,2006075723800,[PBL]스마트 웹&앱 콘텐츠 전문개발자 양성,2022-08-22,2023-02-01,20,17,14.0,11,7536320.0,54.5,6.0,63.6,7.0,0.0,0,2022,945,광주광역시 서구 경열로 3 (농성동),0,111,880,78.57,85.0,7.93,1076617.14,0,63.64
AIG20220000366818,1,1999098928801,스마트컨트랙트와 NFT 활용 블록체인 기반 웹포털 구축,2022-09-14,2023-03-10,20,10,9.0,8,8204160.0,87.5,7.0,87.5,7.0,0.0,0,2022,825,서울특별시 영등포구 양산로 53 (양평동3가 월드메르디앙비즈센터),0,120,960,88.89,50.0,8.0,1172022.86,1,87.5
AIG20200000286675,9,1298554560000,자바/안드로이드를 활용한 사물인터넷(IOT) 개발자 양성 취업과정,2022-09-26,2023-03-17,20,14,12.0,9,8221440.0,85.7,6.0,85.7,6.0,0.0,0,2022,809,경기도 성남시 중원구 성남대로 1133 (성남동),0,120,960,75.0,70.0,8.0,1370240.0,1,66.67
AIG20210000328555,4,9915000040500,"블록체인기반 자바(JAVA) 프로그래밍 개발자(리액트,핀테크)",2022-09-28,2023-04-04,20,17,10.0,6,8820920.0,16.7,1.0,16.7,1.0,16.7,1,2022,748,서울특별시 마포구 노고산동 신촌로 128,0,129,1030,60.0,85.0,7.98,4410460.0,1,33.33
AIG20200000286574,2,1998326771600,라이다 및 영상인식기반 모빌리티 자율주행 솔루션 실무과정,2022-10-19,2023-05-03,20,16,15.0,13,10300400.0,75.0,9.0,83.3,10.0,0.0,0,2022,807,인천광역시 서구 서곶로 284 (심곡동 새터빌딩),0,138,1100,86.67,80.0,7.97,1030040.0,1,76.92
AIG20200000286602,13,1309220578000,빅데이터 플랫폼 구축(하둡)과 빅데이터분석(by Spark&Power Bi)&자바(JAVA)웹개발,2022-10-26,2023-05-10,20,12,9.0,7,9302010.0,40.0,2.0,40.0,2.0,20.0,1,2022,852,서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩),0,123,977,77.78,60.0,7.94,3100670.0,1,42.86
