과정명,기관ID,과정ID,회차,등급,만족도,취업률_3개월,취업률_6개월,수강비,실제훈련비,정원,훈련대상,커리큘럼
에듀테크 상품서비스 PM(프로덕트매니저) 양성,500037189659,AIG20230000412832,12,,748,,,17424000,17424000,16,K-디지털 트레이닝,
에듀테크 상품서비스 PM(프로덕트매니저) 양성,500037189659,AIG20230000412832,13,,748,,,17424000,17424000,16,K-디지털 트레이닝,
빅데이터 기반 컴퓨터비전(CV) 데이터사이언스 과정,500020016144,AIG20240000498272,1,,00,,,8999360,8999360,20,K-디지털 트레이닝,
"클라우드 기반의 자바 풀스택 (Springboot, React, flutter) 개발자",500020056026,AIG20230000412819,9,,946,,,9097920,9097920,20,K-디지털 트레이닝,
"프로젝트기반 웹&앱(자바,스프링,리액트,노코드) SW개발자 양성과정",500020054642,AIG20230000455754,4,,880,,,10803780,10803780,20,K-디지털 트레이닝,
"Web3.0기반 자바(JAVA) 풀스택(프론트,백엔드) 개발자 과정",500020054508,AIG20240000498257,1,,00,,,9872720,9872720,20,K-디지털 트레이닝,
"프로젝트 기반 풀스택(프론트/백엔드) 개발자 취업캠프(리액트,자바,스프링부트)",500020027870,AIG20240000459122,2,,982,,,11448550,11448550,20,K-디지털 트레이닝,
IaC 기반 하이브리드 클라우드 인프라 및 보안 솔루션 구축 과정,500036090856,AIG20240000498209,1,,00,,,9189220,9189220,20,K-디지털 트레이닝,
자바 풀스택&AI를 활용한 개발자양성 취업과정(APS플랫폼 개발),500020013370,AIG20240000498127,1,,00,,,9113280,9113280,20,K-디지털 트레이닝,
프로젝트 기반의 프론트앤드 개발자 양성(with 생성형 AI),500020011407,AIG20240000498183,1,,00,,,9113280,9113280,20,K-디지털 트레이닝,
기업 실무프로젝트 기반 자바&프론트엔드 개발자 양성과정,500020055245,AIG20240000459235,2,,00,,,8733560,8733560,20,K-디지털 트레이닝,
"심화_심층 데이터 분석을 통한 개인 맞춤형 예측 자동화 서비스 솔루션 개발 과정 (Hadoop, Tableau, TensorFlow)",500020026271,AIG20240000459311,3,,714,,,5097490,5097490,20,K-디지털 트레이닝,
실무 프로젝트 기반 UI UX 모바일 웹 디자인 개발 부트캠프 (Figma 활용),500035544333,AIG20230000412755,10,,743,,,8529300,8529300,20,K-디지털 트레이닝,
AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,500020052430,AIG20230000412645,9,,941,,,9856080,9856080,20,K-디지털 트레이닝,
"차세대 AI 예측 Solution 개발(Java, Python)",500020055895,AIG20230000455687,7,,883,,,9097920,9097920,20,K-디지털 트레이닝,
"클라우드 기반의 자바 풀스택 (Springboot, React, flutter) 개발자",500020056026,AIG20230000412819,10,,946,,,9097920,9097920,20,K-디지털 트레이닝,
심화_생성형 AI 활용 백엔드 아키텍쳐 실전 프로젝트,500020061827,AIG20240000498353,2,,857,,,5024460,5024460,20,K-디지털 트레이닝,
"빅데이터 분석을 위한 AI(머신러닝,딥러닝기반)서비스 개발자 양성(JAVA,파이썬)",500036114086,AIG20240000459133,2,,816,,,8543700,8543700,20,K-디지털 트레이닝,
"[KDT]웹퍼블리셔(UIUX)&프론트엔드개발(API,ChatGPT,피그마,리액트,뷰)기업플랫폼프로젝트",500020044990,AIG20230000455704,7,,812,,,9097920,9097920,20,K-디지털 트레이닝,
에듀테크 상품서비스 PM(프로덕트매니저) 양성,500037189659,AIG20230000412832,11,,748,,,17424000,17424000,20,K-디지털 트레이닝,
에듀테크 풀스택 개발자 양성(Java),500037189659,AIG20230000412795,11,,777,,,17424000,17424000,20,K-디지털 트레이닝,
"융합_웹툰콘텐츠제작을 위한 AI(미드저니, ChatGPT)활용 전문인력(PD,콘티,캐릭터,배경,연출) 양성",500020010894,AIG20240000498185,3,,00,,,8163980,8163980,20,K-디지털 트레이닝,
가상화·자동화(DevOps)기반 정보보안 클라우드 인프라 전문가,500020047095,AIG20230000412571,8,,952,,,7107750,7107750,20,K-디지털 트레이닝,
"WEB3(웹3)전자지갑 풀스텍(JAVA,React) 개발자",500036090856,AIG20240000459326,3,,762,,,9758800,9758800,20,K-디지털 트레이닝,
"심화_기업요구 데이터베이스, SQL 성능 개선을 위한 프로젝트 실습과정",500020014651,AIG20240000459036,3,,1000,,,2935800,2935800,20,K-디지털 트레이닝,
"키오스크 풀스택(프론트(React,PHP)/백엔드(Java,Spring) 개발자 양성과정,참여기업 프로젝트",500020016713,AIG20240000459410,1,,00,,,9493000,9493000,20,K-디지털 트레이닝,
"백엔드 웹개발자 부트캠프(자바,파이썬,AI챗봇)",500020017427,AIG20230000412730,6,,726,,,8529300,8529300,20,K-디지털 트레이닝,
